coordinates,intens_mm,%_área
"19.4558741922,-99.0828893863",41 a 54,100
"19.4558741922,-99.0828893863",41 a 54,100
"19.468277881,-99.0761295571",41 a 54,100
"19.468277881,-99.0761295571",41 a 54,100
"19.4861160247,-99.1478678643",54 a 60,50 a 72
"19.4861160247,-99.1478678643",54 a 60,50 a 72
"19.5417687551,-99.1508024577",64 a 70,73 a 99
"19.5417687551,-99.1508024577",64 a 70,73 a 99
"19.5196332023,-99.1508721218",60 a 64,100
"19.5196332023,-99.1508721218",60 a 64,100
"19.5145828997,-99.1475044413",60 a 64,100
"19.5145828997,-99.1475044413",60 a 64,100
"19.5081121211,-99.1486643761",60 a 64,100
"19.5081121211,-99.1486643761",60 a 64,100
"19.5119921554,-99.1426979154",60 a 64,100
"19.5119921554,-99.1426979154",60 a 64,100
"19.4949629462,-99.1486655987",60 a 64,100
"19.4949629462,-99.1486655987",60 a 64,100
"19.4918451393,-99.1037940845",54 a 60,73 a 99
"19.4918451393,-99.1037940845",54 a 60,73 a 99
"19.5011572675,-99.0984317478",54 a 60,50 a 72
"19.5011572675,-99.0984317478",54 a 60,50 a 72
"19.4633685417,-99.1162502727",54 a 60,100
"19.4633685417,-99.1162502727",54 a 60,100
"19.5582296022,-99.1461968383",64 a 70,0 a 25
"19.5582296022,-99.1461968383",64 a 70,0 a 25
"19.5026368504,-99.1126885263",54 a 60,73 a 99
"19.5026368504,-99.1126885263",54 a 60,73 a 99
"19.5746813252,-99.135952596",64 a 70,0 a 25
"19.5746813252,-99.135952596",64 a 70,0 a 25
"19.4704179241,-99.0686148883",41 a 54,100
"19.4704179241,-99.0686148883",41 a 54,100
"19.4714680716,-99.0644468218",41 a 54,100
"19.4714680716,-99.0644468218",41 a 54,100
"19.4683431154,-99.0906749426",41 a 54,100
"19.4683431154,-99.0906749426",41 a 54,100
"19.4602164584,-99.1022158207",41 a 54,100
"19.4602164584,-99.1022158207",41 a 54,100
"19.4624992948,-99.1013824934",41 a 54,100
"19.4624992948,-99.1013824934",41 a 54,100
"19.4916729903,-99.0783592578",41 a 54,100
"19.4916729903,-99.0783592578",41 a 54,100
"19.4741025763,-99.127486817",54 a 60,100
"19.4741025763,-99.127486817",54 a 60,100
"19.4745440987,-99.1294001769",54 a 60,100
"19.4745440987,-99.1294001769",54 a 60,100
"19.4588865958,-99.0903714801",41 a 54,100
"19.4588865958,-99.0903714801",41 a 54,100
"19.4554827223,-99.058672774",41 a 54,100
"19.4554827223,-99.058672774",41 a 54,100
"19.4596472241,-99.1086679087",54 a 60,100
"19.4596472241,-99.1086679087",54 a 60,100
"19.4636366352,-99.1107774191",54 a 60,100
"19.4636366352,-99.1107774191",54 a 60,100
"19.4658185127,-99.11499197",54 a 60,100
"19.4658185127,-99.11499197",54 a 60,100
"19.4666136999,-99.0838204597",41 a 54,100
"19.4666136999,-99.0838204597",41 a 54,100
"19.4705026213,-99.0809683572",41 a 54,100
"19.4705026213,-99.0809683572",41 a 54,100
"19.469417941,-99.1412641278",54 a 60,100
"19.469417941,-99.1412641278",54 a 60,100
"19.4769775122,-99.1344292709",54 a 60,100
"19.4769775122,-99.1344292709",54 a 60,100
"19.4745117374,-99.1149825396",54 a 60,100
"19.4745117374,-99.1149825396",54 a 60,100
"19.4951553899,-99.1279766328",54 a 60,100
"19.4951553899,-99.1279766328",54 a 60,100
"19.5034786274,-99.1288504396",54 a 60,100
"19.5034786274,-99.1288504396",54 a 60,100
"19.4931393612,-99.1358484457",54 a 60,100
"19.4931393612,-99.1358484457",54 a 60,100
"19.4945000346,-99.1410928282",54 a 60,100
"19.4945000346,-99.1410928282",54 a 60,100
"19.50518825,-99.1262119363",54 a 60,100
